Number of Blunders,,White Rating,,,,,,,
0,,1441,,,,,,,0
1000,,1258,,,,,,,1
0,,1697,,,,,,,0
0,,1978,,,,,,,0
0,,2073,,,,,,,0
2000,,1944,,,,,,,2
1000,,1500,,,,,,,1
0,,1880,,,,,,,0
4000,,2209,,,,,,,4
2000,,2296,,,,,,,2
2000,,2320,,,,,,,2
1000,,1751,,,,,,,1
3000,,2301,,,,,,,3
2000,,2299,,,,,,,2
4000,,2089,,,,,,,4
4000,,2297,,,,,,,4
0,,1630,,,,,,,0
1000,,1208,,,,,,,1
1000,,1808,,,,,,,1
2000,,2171,,,,,,,2
1000,,1085,,,,,,,1
4000,,1688,,,,,,,4
1000,,1651,,,,,,,1
0,,1625,,,,,,,0
8000,,1464,,,,,,,8
10000,,1535,,,,,,,10
3000,,1883,,,,,,,3
1000,,1921,,,,,,,1
2000,,1595,,,,,,,2
2000,,1603,,,,,,,2
1000,,1615,,,,,,,1
0,,2033,,,,,,,0
1000,,1901,,,,,,,1
0,,1896,,,,,,,0
1000,,1830,,,,,,,1
0,,1472,,,,,,,0
2000,,1958,,,,,,,2
0,,2005,,,,,,,0
3000,,2038,,,,,,,3
1000,,2007,,,,,,,1
0,,1999,,,,,,,0
1000,,1988,,,,,,,1
1000,,1976,,,,,,,1
2000,,2012,,,,,,,2
6000,,1794,,,,,,,6
2000,,1805,,,,,,,2
2000,,1869,,,,,,,2
0,,1856,,,,,,,0
1000,,1846,,,,,,,1
3000,,1603,,,,,,,3
0,,1855,,,,,,,0
2000,,1185,,,,,,,2
2000,,1201,,,,,,,2
4000,,1568,,,,,,,4
0,,1531,,,,,,,0
10000,,1673,,,,,,,10
1000,,1551,,,,,,,1
1000,,1494,,,,,,,1
3000,,1912,,,,,,,3
0,,1587,,,,,,,0
4000,,1714,,,,,,,4
2000,,1672,,,,,,,2
2000,,1929,,,,,,,2
1000,,1592,,,,,,,1
1000,,1822,,,,,,,1
1000,,1814,,,,,,,1
8000,,1698,,,,,,,8
4000,,1818,,,,,,,4
1000,,1966,,,,,,,1
2000,,1935,,,,,,,2
5000,,1893,,,,,,,5
0,,1938,,,,,,,0
0,,1500,,,,,,,0
1000,,1725,,,,,,,1
8000,,1703,,,,,,,8
2000,,1719,,,,,,,2
7000,,1717,,,,,,,7
1000,,1698,,,,,,,1
4000,,1645,,,,,,,4
2000,,1732,,,,,,,2
2000,,1672,,,,,,,2
0,,1500,,,,,,,0
2000,,1434,,,,,,,2
1000,,1560,,,,,,,1
2000,,2301,,,,,,,2
0,,2188,,,,,,,0
1000,,1758,,,,,,,1
0,,1604,,,,,,,0
0,,1696,,,,,,,0
0,,1568,,,,,,,0
3000,,1560,,,,,,,3
1000,,1571,,,,,,,1
0,,1367,,,,,,,0
5000,,2004,,,,,,,5
2000,,1967,,,,,,,2
4000,,1606,,,,,,,4
3000,,1497,,,,,,,3
1000,,1505,,,,,,,1
0,,1490,,,,,,,0
2000,,1362,,,,,,,2
3000,,1704,,,,,,,3
1000,,1910,,,,,,,1
1000,,1481,,,,,,,1
6000,,1760,,,,,,,6
5000,,1446,,,,,,,5
3000,,1796,,,,,,,3
2000,,1639,,,,,,,2
1000,,1387,,,,,,,1
0,,1927,,,,,,,0
3000,,1247,,,,,,,3
5000,,1170,,,,,,,5
3000,,1669,,,,,,,3
4000,,1562,,,,,,,4
4000,,1558,,,,,,,4
2000,,1537,,,,,,,2
6000,,1451,,,,,,,6
